itstId,itstNm,lat,lng,regDt
101,수서역,37.487322,127.101742,2022-12-12T16:30:39.000+00:00
1066,우리은행중화,37.605372,127.078730,2022-12-12T16:30:40.000+00:00
1069,동일로지하차도,37.595009,127.080309,2022-12-12T16:30:39.000+00:00
1073,서울과학기술대입구,37.628911,127.071341,2022-12-12T16:30:40.000+00:00
1075,중계경남아파트,37.643536,127.064855,2022-12-12T16:30:40.000+00:00
108,수협은행압구정,37.523640,127.028335,2022-12-12T16:30:39.000+00:00
1086,수유시장앞,37.630657,127.024451,2022-12-12T16:30:39.000+00:00
1088,강월초교입구,37.517054,126.839413,2022-12-12T16:30:40.000+00:00
109,서초삼성스위트아파트,37.495306,127.025023,2022-12-12T16:30:39.000+00:00
1091,내발산초교앞,37.550802,126.836357,2022-12-12T16:30:39.000+00:00
1092,강서소방서,37.558026,126.860927,2022-12-12T16:30:39.000+00:00
1104,목동야구장,37.528839,126.880340,2022-12-12T16:30:39.000+00:00
1108,역말사거리,37.605860,126.915386,2022-12-12T16:30:39.000+00:00
1109,서울혁신파크,37.608822,126.931387,2022-12-12T16:30:39.000+00:00
111,현대빌딩본관,37.577353,126.988157,2022-12-12T16:30:39.000+00:00
1123,대치삼성아파트앞,37.498242,127.058897,2022-12-12T16:30:39.000+00:00
1132,신월마이홈아파트,37.522546,126.847972,2022-12-12T16:30:39.000+00:00
1133,양화교밑,37.547152,126.880447,2022-12-12T16:30:39.000+00:00
1134,신서중,37.515459,126.854998,2022-12-12T16:30:39.000+00:00
1141,목동중학교앞,37.519786,126.872496,2022-12-12T16:30:40.000+00:00
1142,광영여고,37.539248,126.824161,2022-12-12T16:30:39.000+00:00
1147,강서구청,37.551596,126.849468,2022-12-12T16:30:39.000+00:00
1148,등촌동,37.557969,126.844595,2022-12-12T16:30:39.000+00:00
1149,신월초교입구,37.540504,126.836238,2022-12-12T16:30:39.000+00:00
1156,양강중,37.524065,126.850906,2022-12-12T16:30:39.000+00:00
1157,열병합발전소앞,37.539257,126.885634,2022-12-12T16:30:39.000+00:00
1165,먹골역,37.612220,127.077421,2022-12-12T16:30:40.000+00:00
1167,우리은행태릉역지점,37.615545,127.076359,2022-12-12T16:30:40.000+00:00
1168,길음역,37.604280,127.025161,2022-12-12T16:30:39.000+00:00
1172,공릉역,37.625608,127.073006,2022-12-12T16:30:40.000+00:00
1178,메이필드호텔,37.549146,126.816482,2022-12-12T16:30:39.000+00:00
1179,우장산역,37.547958,126.836356,2022-12-12T16:30:39.000+00:00
1183,서초푸르지오써밋,37.501767,127.021936,2022-12-12T16:30:39.000+00:00
1188,녹번초교,37.603529,126.925401,2022-12-12T16:30:39.000+00:00
1190,방화사거리,37.573435,126.811445,2022-12-12T16:30:39.000+00:00
1192,거리공원오거리,37.497489,126.893106,2022-12-12T16:30:40.000+00:00
1195,계남공원,37.509947,126.858112,2022-12-12T16:30:39.000+00:00
1197,신도고교,37.630478,126.919254,2022-12-12T16:30:39.000+00:00
1198,한국환경산업기술원,37.609527,126.932997,2022-12-12T16:30:39.000+00:00
1199,영보빌딩은평,37.616464,126.918823,2022-12-12T16:30:39.000+00:00
1201,대림부동산,37.484202,126.939797,2022-12-12T16:30:40.000+00:00
1203,진광공업사,37.482387,126.950776,2022-12-12T16:30:40.000+00:00
1207,서이지구대,37.492527,127.028236,2022-12-12T16:30:39.000+00:00
1210,동방사우나,37.521747,126.846429,2022-12-12T16:30:39.000+00:00
1211,대한도시가스,37.498300,127.076154,2022-12-12T16:30:40.000+00:00
1213,장지IC하향,37.469719,127.124667,2022-12-12T16:30:39.000+00:00
1217,역촌시장,37.612417,126.915330,2022-12-12T16:30:39.000+00:00
1219,홍대역2번출구,37.556703,126.923605,2022-12-12T16:30:39.000+00:00
1221,언북중학교,37.520004,127.034507,2022-12-12T16:30:39.000+00:00
1224,망우역,37.598187,127.092806,2022-12-12T16:30:39.000+00:00
1225,코스트코상봉,37.597712,127.090747,2022-12-12T16:30:39.000+00:00
1226,상봉지하차도,37.597082,127.088089,2022-12-12T16:30:39.000+00:00
1228,상봉역,37.596367,127.085541,2022-12-12T16:30:39.000+00:00
1229,서울중랑우체국,37.595816,127.083489,2022-12-12T16:30:39.000+00:00
1230,우리은행중랑교지점,37.593697,127.075049,2022-12-12T16:30:39.000+00:00
1248,대조불광시장,37.609005,126.927132,2022-12-12T16:30:39.000+00:00
1250,신월사거리,37.535878,126.828306,2022-12-12T16:30:40.000+00:00
1251,목동812동,37.519225,126.868219,2022-12-12T16:30:40.000+00:00
1258,신월1지구대입구,37.531800,126.831106,2022-12-12T16:30:40.000+00:00
1259,공항빗물펌프장,37.556419,126.816395,2022-12-12T16:30:40.000+00:00
1260,대창빌딩,37.554934,126.816471,2022-12-12T16:30:40.000+00:00
1262,강서구의회앞,37.546579,126.862779,2022-12-12T16:30:39.000+00:00
